text,label
I love this product,positive
This is amazing,positive
Excellent quality,positive
Very satisfied with the purchase,positive
Great experience and friendly staff,positive
Highly recommend this to my friends,positive
Fast delivery and good packaging,positive
The price is reasonable and quality is good,positive
Very happy with the service,positive
This made my day,positive

I hate this service,negative
Very bad experience,negative
Terrible support,negative
I will never buy this again,negative
Completely disappointed,negative
The product arrived broken,negative
Poor communication from seller,negative
Not worth the money,negative
It stopped working after a week,negative
Awful experience,negative

Tôi rất hài lòng với sản phẩm,positive
Sản phẩm tuyệt vời và chất lượng tốt,positive
"Giao hàng nhanh, đóng gói cẩn thận",positive
"Dịch vụ rất chu đáo",positive
Sẽ giới thiệu cho người thân,positive

Tôi ghét dịch vụ này,negative
Kinh nghiệm rất tệ,negative
"Hỗ trợ kém",negative
Sản phẩm bị lỗi khi nhận hàng,negative
Không đáng tiền,negative
Sẽ không mua lại lần nữa,negative
Giao hàng trễ và không thông báo,negative
Phản hồi chậm và không hữu ích,negative
